IUS Spring 2025 Course schedule Undergraduate,,,,,,
Code,Course Code and Name,Day1,Day2,Venue 1,Venue 2,Important Notes
PSY406.1,PSY406.1 Positive Psychology,Wed. 15:00-17:50,,A F1.11,,
PSY412.1,PSY412.1 Abnormal Psychology,Tue. 10:00-12:50,,A F2.13,,
PSY414.1,PSY414.1 Psychology of Adulthood and Aging,Fri. 15:00-17:50,,B F2.6,,
PSY424.1,PSY424.1 Social Cognition,Thu. 12:00-14:50,,A F1.25,,
PSY457.1,PSY457.1 Emotion and Cognition,Thu. 15:00-17:50,,B F2.17,,
PSY458.1,PSY458.1 Neuropsychology,Tue. 15:00-17:50,,B F1.8,,
PSY490.1,PSY490.1 Graduation Project,Tue. 09:00-11:50,,A F1.23,,
PSY496.1,PSY496.1 Research Activity,Wed. 09:00-11:50,,B F2.2,,
SE211.1,SE211.1 Software Construction,Mon. 15:00-17:50,,A F1.24 Amphitheater I,,
SE308.1,SE308.1 Communication Systems and Networks,Wed. 09:00-11:50,,A F1.11,,
SE308.2,SE308.2 Communication Systems and Networks,Tue. 12:00-14:50,,A F1.10,,
SE407.1,SE407.1 Software Quality Management,Tue. 15:00-17:50,,A F2.14 - Amphitheater I,,
SOC102.1,SOC102.1 Introduction to Sociology,Thu. 15:00-17:50,,B F2.15 Amphitheater II,,
SOC311.1,SOC311.1 Sociology of Religion,Fri. 14:00-16:50,,B F1.1,,
SPS312.1,SPS312.1 Qualitative Research Methods,Wed. 15:00-17:50,,B F1.17,,
TLT114.1,TLT114.1 Turkish Language II (Turkish Morphology),Tue 09:00 – 11:50,,B F1.22,,
TLT212.1,TLT212.1 Introduction to Turkish Literature,Thu 09:00 – 11:50,,B F1.22,,
TLT214.1,TLT214.1 Turkish Language IV (Turkish Sentence Knowledge),Wed. 12:00-14:50,,A F1.25,,
TLT312.1,TLT312.1 Ottoman Turkish,Tue 12:00 – 14:50,,B F2.5,,
TLT317.1,TLT317.1 Teaching Language Skills (Understanding-Explanation),Thu 15:00 – 17:50,,A F1.23,,
TLT319.1,TLT319.1 History of Turkish Language,Wed 09:00 – 11:50,,A F1.25,,
TLT371.1,TLT371.1 Teaching Practice I,Mon 12:00 – 14:50,,B F2.2,,
TLT411.1,TLT411.1 Divan Literature,Tue 09:00 – 11:50,,B F2.2,,
TLT427.1,TLT427.1 Turkish Folklore,Thu 12:00 – 14:50,,B F2.2,,
TLT471.1,TLT471.1 Teaching Practice II,Mon 12:00 – 14:50,,B F2.2,,
TT304.1,TT304.1 Literary Translation,Thu 09:00 – 11:50,,A F2.13,,
TURK111.1,TURK111.1 Spoken Turkish I,Fri. 10:00-11:50,,A F1.10,,
TURK111.2,TURK111.2 Spoken Turkish I,Fri. 15:00-16:50,,B F2.16,,
TURK112.1,TURK112.1 Spoken Turkish II,Mon. 11:00-12:50,,A F1.26,,
TURK112.1,TURK112.10 Spoken Turkish II,Fri. 14:00-15:50,,,,NO in SiS no students registred
TURK112.2,TURK112.2 Spoken Turkish II,Tue. 10:00-11:50,,A F1.10,,
TURK112.3,TURK112.3 Spoken Turkish II,Tue. 14:00-15:50,,B F1.17,,
TURK112.4,TURK112.4 Spoken Turkish II,Wed. 11:00-12:50,,A F1.10,,
TURK112.5,TURK112.5 Spoken Turkish II,Mon. 11:00-12:50,,A F1.10,,ONLY TLT STUDENTS
TURK112.6,TURK112.6 Spoken Turkish II,Wed. 14:00-15:50,,A F1.23,,
TURK112.7,TURK112.7 Spoken Turkish II,Mon. 15:00-16:50,,B F2.4,,
TURK112.8,TURK112.8 Spoken Turkish II,Thu. 13:00-14:50,,A F1.11,,
TURK112.9,TURK112.9 Spoken Turkish II,Fri. 10:00-11:50,,B F2.16,,
VA104.1,VA104.1 Language of Drawing II,Wed. 12:00-14:50,,A B.16 - VACD Drawing Studio,,
